"Day","Hubbard Park Drive"
"2021-04-28",""
"2021-04-29","159"
"2021-04-30","118"
"2021-05-01","198"
"2021-05-02","213"
"2021-05-03","156"
"2021-05-04","140"
"2021-05-05","123"
"2021-05-06","191"
"2021-05-07","182"
"2021-05-08","247"
"2021-05-09","209"
"2021-05-10","221"
"2021-05-11","180"
"2021-05-12",""
